adress,price,link
"9717 Lawlor St, Oakland, CA 94605","$3,300/mo",https://www.zillow.com/homedetails/9717-Lawlor-St-Oakland-CA-94605/24807174_zpid/
"1502 Jackson St, Oakland, CA 94612","$1,525/mo",https://www.zillow.com/homedetails/9717-Lawlor-St-Oakland-CA-94605/24807174_zpid/
"1310 76th Ave #A, Oakland, CA 94621","$2,995/mo",https://www.zillow.com/homedetails/1502-Jackson-St-Oakland-CA-94612/299076386_zpid/
"(undisclosed Address), Berkeley, CA 94708","$2,500/mo",https://www.zillow.com/homedetails/1502-Jackson-St-Oakland-CA-94612/299076386_zpid/
"3419 68th Ave, Oakland, CA 94605","$3,200/mo",https://www.zillow.com/homedetails/1310-76th-Ave-A-Oakland-CA-94621/2066379854_zpid/
"The Laureate - 502 | 2556 Telegraph Ave, Berkeley, CA","$1,575+ 4 bds",https://www.zillow.com/homedetails/1310-76th-Ave-A-Oakland-CA-94621/2066379854_zpid/
"1285 Oak Grove Ave, Burlingame, CA 94010","$2,025/mo",https://www.zillow.com/homedetails/Berkeley-CA-94708/24849357_zpid/
"27759 Del Norte Ct, Hayward, CA 94545","$3,295/mo",https://www.zillow.com/homedetails/Berkeley-CA-94708/24849357_zpid/
